age_range,pair_weight,weight_fraction,ts_auc,eligible_ages
1-8,8445498.0,0.0015990105902133895,0.5159659027803926,8
9-16,20216869.0,0.0038277183455560325,0.4989392768979212,8
17-32,68644539.0,0.012996669328595667,0.505849299971262,16
33-64,214169577.0,0.04054934613974475,0.5117433789393906,32
65-128,591020491.0,0.11189962085623813,0.5130222583094839,64
129-256,1357431644.0,0.257006463591226,0.5120565813183592,128
257-512,2081462722.0,0.3940893640152882,0.5167060911696693,256
513+,940311015.0,0.17803180713313785,0.5156932443251236,487
