time_online,age,active,positive,negative,weight,auc,weight_fraction
0,1,2000,6,1994,11964,0.5,5.669431378494376e-05
1,2,2000,8,1992,15936,0.2830070281124498,7.551659850191105e-05
2,3,2000,10,1990,19900,0.3354773869346733,9.430097327987134e-05
3,4,2000,13,1987,25831,0.3856219271418064,0.0001224064543111737
4,5,2000,14,1986,27804,0.49381383973528986,0.000131755993018771
5,6,2000,16,1984,31744,0.39919354838709675,0.00015042663797971035
6,7,2000,20,1980,39600,0.47017676767676764,0.0001876541980845681
7,8,2000,28,1972,55216,0.5439727615184005,0.00026165439902619983
8,9,2000,31,1969,61039,0.559609430036534,0.0002892480958809079
9,10,2000,36,1964,70704,0.4963792713283548,0.0003350480409437198
10,11,1998,40,1958,78320,0.46648365679264553,0.000371138302878368
11,12,1997,42,1955,82110,0.46013883814395323,0.00038909813648292646
12,13,1993,45,1948,87660,0.49618982432124115,0.0004153981566690212
13,14,1991,49,1942,95158,0.46409130078395927,0.0004509292470033165
14,15,1988,53,1935,102555,0.49161913119789374,0.00048598172435764854
15,16,1987,58,1929,111882,0.4939221679984269,0.0005301799744974154
16,17,1982,63,1919,120897,0.5105337601429315,0.0005728997370159099
17,18,1980,68,1912,130016,0.4864401304454836,0.0006161123287414951
18,19,1980,73,1907,139211,0.4886467305026183,0.0006596850648876467
19,20,1980,74,1906,141044,0.4878619437905901,0.0006683711796626219
20,21,1979,78,1901,148278,0.4781019436463939,0.0007026512420096866
21,22,1978,84,1894,159096,0.48747297229345804,0.00075391495703188
22,23,1973,86,1887,162282,0.5045476392945614,0.0007690125902414111
23,24,1969,89,1880,167320,0.5050920392063112,0.000792886374331059
24,25,1967,91,1876,170716,0.5036786241477074,0.0008089791434395234
25,26,1966,92,1874,172408,0.5262806830309499,0.0008169970955395004
26,27,1965,95,1870,177650,0.5310554461018857,0.0008418375830738264
27,28,1961,95,1866,177270,0.4805268799007164,0.0008400368609709946
28,29,1960,97,1863,180711,0.4925267415929301,0.0008563428734863735
29,30,1959,97,1862,180614,0.4946460407277399,0.0008558832154759138
30,31,1957,97,1860,180420,0.5048165391863431,0.0008549638994549944
31,32,1955,96,1859,178464,0.49268760086067775,0.0008456949193677869
32,33,1954,105,1849,194145,0.4808879960854001,0.0009200031385638504
33,34,1952,104,1848,192192,0.46515984015984013,0.0009107483747037706
34,35,1950,109,1841,200669,0.46980849059894647,0.0009509186938240454
35,36,1947,115,1832,210680,0.47737801404974367,0.0009983582437489093
36,37,1946,123,1823,224229,0.47510803687301817,0.0010625634641996116
37,38,1945,128,1817,232576,0.4902870459548707,0.001102117746811023
38,39,1942,128,1814,232192,0.48549476295479604,0.001100298069738688
39,40,1936,128,1808,231424,0.4733562638274336,0.0010966587155940173
40,41,1934,131,1803,236193,0.48898146854479174,0.0011192577779845555
41,42,1930,134,1796,240664,0.48893893561147495,0.0011404446951470833
42,43,1929,136,1793,243848,0.49680948787769436,0.0011555328508718627
43,44,1927,138,1789,246882,0.5130588702295023,0.0011699101952402612
44,45,1923,141,1782,251262,0.5150321178689974,0.0011906658868465847
45,46,1920,142,1778,252476,0.5002732933031259,0.0011964187200908943
46,47,1919,146,1773,258858,0.48900555516924343,0.0012266613739337154
47,48,1918,149,1769,263581,0.4834984312222808,0.0012490424541749634
48,49,1917,153,1764,269892,0.5028492878632935,0.0012789486573090974
49,50,1914,158,1756,277448,0.4940096883019521,0.0013147545947011932
50,51,1911,161,1750,281750,0.48946938775510207,0.0013351406644021987
51,52,1911,162,1749,283338,0.4991811899568714,0.0013426657872950849
52,53,1911,165,1746,288090,0.49877815960290195,0.001365184291065233
53,54,1906,165,1741,287265,0.49576871529772165,0.0013612748286051378
54,55,1906,165,1741,287265,0.48627225732337737,0.0013612748286051378
