time_online,age,active,positive,negative,weight,auc,weight_fraction
294,295,1444,401,1043,418243,0.5188060529405154,0.0019135845700012915
295,296,1444,404,1040,420160,0.527929836252856,0.0019223554080564232
296,297,1444,404,1040,420160,0.5159177456207159,0.0019223554080564232
297,298,1441,403,1038,418314,0.5052950654293187,0.0019139094158551852
298,299,1439,402,1037,416874,0.493853058717982,0.0019073209929029737
299,300,1439,403,1036,417508,0.5063352079481112,0.0019102217291194336
300,301,1435,402,1033,415266,0.5212514388367938,0.0018999639206063374
301,302,1433,402,1031,414462,0.515615424333232,0.0018962853844580192
302,303,1431,400,1031,412400,0.5139221629485935,0.0018868511288139495
303,304,1425,399,1026,409374,0.5152403425718292,0.0018730062900268712
304,305,1423,398,1025,407950,0.5169481554112023,0.0018664910717741286
305,306,1419,398,1021,406358,0.5166503428011753,0.0018592072041769612
306,307,1417,398,1019,405562,0.5297118566335111,0.0018555652703783777
307,308,1415,400,1015,406000,0.5246871921182266,0.001857569249026342
308,309,1413,399,1014,404586,0.5314741488830557,0.0018510997837107674
309,310,1411,398,1013,403174,0.5268184456338951,0.0018446394689826267
310,311,1408,395,1013,400135,0.5199257750509203,0.00183073515137723
311,312,1405,396,1009,399564,0.5130542291097295,0.0018281226586649294
312,313,1403,396,1007,398772,0.520375051407822,0.001824499026041213
313,314,1399,396,1003,397188,0.5219631509511868,0.0018172517607937802
314,315,1398,396,1002,396792,0.5102194600697595,0.001815439944481922
315,316,1397,395,1002,395790,0.5192602137497158,0.0018108555001776748
316,317,1394,394,1000,394000,0.5240875634517767,0.0018026657244245782
317,318,1392,396,996,394416,0.5198457973307371,0.0018045690466107728
318,319,1392,398,994,395612,0.5284546474828873,0.001810041097896082
319,320,1389,398,991,394418,0.5302952704998249,0.0018045781971982064
320,321,1389,398,991,394418,0.5061013949667612,0.0018045781971982064
321,322,1387,398,989,393622,0.5141607938580669,0.0018009362633996226
322,323,1387,398,989,393622,0.526027508625026,0.0018009362633996226
323,324,1385,398,987,392826,0.5289008365026755,0.001797294329601039
324,325,1384,398,986,392428,0.521888091573486,0.0017954733627017472
325,326,1383,398,985,392030,0.5187472897482335,0.0017936523958024554
326,327,1382,400,982,392800,0.5351043788187373,0.0017971753719644018
327,328,1379,398,981,390438,0.5287856202521272,0.001786368528205288
328,329,1378,397,981,389457,0.5367293436759385,0.0017818801650690938
329,330,1376,397,979,388663,0.537107983008416,0.0017782473818579439
330,331,1376,398,978,389244,0.5200375599880795,0.0017809056275074125
331,332,1371,398,973,387254,0.5145318059981304,0.0017718007930109534
332,333,1370,398,972,386856,0.521860847447112,0.0017699798261116616
333,334,1367,400,967,386800,0.528006721820062,0.00176972360966352
334,335,1366,402,964,387528,0.5505228009330938,0.0017730544234893604
335,336,1363,400,963,385200,0.5464317237798546,0.0017624031397166181
336,337,1361,399,962,383838,0.5597765203028361,0.001756171589674318
337,338,1358,396,962,380952,0.5505680505680506,0.0017429672920075937
338,339,1358,398,960,382080,0.5530569514237855,0.0017481282233201595
339,340,1356,398,958,381284,0.5621951091574784,0.001744486289521576
340,341,1356,399,957,381843,0.5544399137865562,0.0017470438787092746
341,342,1353,399,954,380646,0.5347356861756067,0.0017415672521302488
342,343,1349,399,950,379050,0.5094934705184012,0.0017342650833582142
343,344,1344,398,946,376508,0.5135920086691385,0.0017226346867300739
344,345,1340,396,944,373824,0.524643950094162,0.001710354598394146
345,346,1338,395,943,372485,0.5457776823227781,0.0017042282801073326
346,347,1336,396,940,372240,0.5349586288416076,0.0017031073331467133
347,348,1333,394,939,369966,0.5293189103863598,0.001692703115234679
348,349,1332,393,939,369027,0.5378346299864237,0.001688406914434591
349,350,1331,393,938,368634,0.5290911852948995,0.0016866088240038832
350,351,1329,392,937,367304,0.5326609565918149,0.0016805236833605211
351,352,1326,393,933,366669,0.5298729917173255,0.0016776183718503444
352,353,1325,394,931,366814,0.5276706995916186,0.0016782817894392824
353,354,1324,394,930,366420,0.5255772064843622,0.0016764791237148578
354,355,1322,394,928,365632,0.5069947378785227,0.0016728737922660085
355,356,1322,396,926,366696,0.49407956454392743,0.0016777419047806982
356,357,1321,398,923,367354,0.5129684173848659,0.0016807524480463617
357,358,1318,397,921,365637,0.49833714859272993,0.0016728966687345928
358,359,1318,397,921,365637,0.508900904448948,0.0016728966687345928
359,360,1316,400,916,366400,0.49127319868995634,0.0016763876178405215
360,361,1315,400,915,366000,0.5210724043715848,0.001674557500353796
361,362,1314,401,913,366113,0.5307883085276951,0.001675074508543796
362,363,1309,397,912,362064,0.5322152989526714,0.0016565491442844175
363,364,1308,398,910,362180,0.5373999116461429,0.0016570798783555679
364,365,1304,397,907,360079,0.5380846980801435,0.0016474671862565424
365,366,1301,395,906,357870,0.5221379271802611,0.0016373603624361011
366,367,1296,391,905,353855,0.5137019400601942,0.0016189905581630941
367,368,1294,393,901,354093,0.5128469074508675,0.0016200794780676959
368,369,1291,391,900,351900,0.5134526854219948,0.0016100458589467235
369,370,1289,390,899,350610,0.49474202104902876,0.001604143730052034
370,371,1288,390,898,350220,0.5039832105533665,0.0016023593655024766
371,372,1285,390,895,349050,0.5127044835983383,0.0015970062718538046
372,373,1285,391,894,349554,0.5199239602464856,0.0015993122198870787
373,374,1284,391,893,349163,0.5305645214412752,0.0015975232800438046
374,375,1283,390,893,348270,0.5486260659832888,0.00159343754275469
375,376,1281,390,891,347490,0.541618463840686,0.0015898688136555753
376,377,1279,392,887,347704,0.5151220578423026,0.0015908479265109735
377,378,1277,390,887,345930,0.51779261700344,0.001582731355457346
378,379,1275,388,887,344156,0.5171811620311719,0.0015746147844037186
379,380,1275,388,887,344156,0.5330431548483827,0.0015746147844037186
380,381,1274,388,886,343768,0.5198185985897465,0.001572839570441595
381,382,1271,388,883,342604,0.5195094044436142,0.0015675139285552238
382,383,1268,388,880,341440,0.5034266635426429,0.0015621882866688529
383,384,1266,387,879,340173,0.49052099960902246,0.00155639138952965
384,385,1261,383,878,336274,0.4923232245133433,0.0015385523193277935
385,386,1260,383,877,335891,0.5184940948105189,0.0015367999818342538
386,387,1256,380,876,332880,0.5206921413121846,0.0015230237724529279
387,388,1253,377,876,330252,0.5186251710814772,0.0015109999005651416
388,389,1249,376,873,328248,0.512057956179474,0.0015018310119566472
389,390,1246,375,871,326625,0.48592881745120553,0.0014944053102542586
390,391,1243,374,869,325006,0.506036811628093,0.0014869979097267372
391,392,1241,374,867,324258,0.5094847312942163,0.0014835755900265606
392,393,1237,373,864,322272,0.530955217952537,0.0014744890567049687
393,394,1234,375,859,322125,0.5403088863019014,0.001473816488528597
394,395,1233,375,858,321750,0.523979797979798,0.001472100753384792
395,396,1231,373,858,320034,0.5203650237162302,0.0014642495493667397
396,397,1231,373,858,320034,0.5221554584825363,0.0014642495493667397
397,398,1228,372,856,318432,0.5270041955582354,0.0014569199288324043
398,399,1225,373,852,317796,0.5325082757492228,0.0014540100420285108
399,400,1223,374,849,317526,0.527860710618973,0.001452774712724971
400,401,1223,374,849,317526,0.5296700112746673,0.001452774712724971
401,402,1223,375,848,318000,0.5245691823899371,0.0014549434019467409
402,403,1221,376,845,317720,0.541196651139368,0.001453662319706033
403,404,1220,375,845,316875,0.5313372781065089,0.0014497961965153254
404,405,1218,374,844,315656,0.5345455179055681,0.0014442189134745297
405,406,1217,376,841,316216,0.5268297619348798,0.0014467810779559451
406,407,1216,376,840,315840,0.5268522036474164,0.0014450607675184233
407,408,1215,376,839,315464,0.5274246823726321,0.0014433404570809013
408,409,1214,375,839,314625,0.5314421930870084,0.0014395017856524948
409,410,1212,374,838,313412,0.5173509629497275,0.0014339519543739997
410,411,1212,374,838,313412,0.5109536329176931,0.0014339519543739997
411,412,1208,373,835,311455,0.5131495721693343,0.0014249981045701954
412,413,1208,374,834,311916,0.5287417125123431,0.0014271073149736465
413,414,1206,374,832,311168,0.5276056663924311,0.00142368499527347
414,415,1205,375,830,311250,0.5389220883534136,0.0014240601693582488
415,416,1205,375,830,311250,0.5402907630522089,0.0014240601693582488
416,417,1203,375,828,310500,0.5466183574879226,0.0014206286990706384
