experiment,detector,pooled_oof_ts_auc,fold_scores,fold_eligible_ages,scored_points,initialization_seconds,update_seconds_excluding_first_point,timed_updates,updates_per_second,replay_wall_seconds,total_wall_seconds,state_bytes_shallow,process_peak_rss_platform_units,adjacent_score_ties,scores_equal_one,update_complexity,state_complexity,initialization_complexity,notes
E01,official_ewma,0.5145070718397193,"[0.5151677208400356, 0.5249723630029476, 0.5167046023528405, 0.5153831875058354, 0.49959581936907044]","[997, 997, 994, 999, 999]",5036517,0.49381349940085784,4.224909121287055,5026517,1189733.7565615487,28.880714600003557,39.47642709998763,248,,131,135,O(1),O(1),O(H),No global fit; fold-held-out trajectories use each series' history only. Update timing includes generator/guard/clock overhead and excludes the first point per series.
E01,cusum,0.5189040438648497,"[0.5228992295424167, 0.525761416299669, 0.5241279986631439, 0.5242348069468313, 0.496417062236618]","[997, 997, 994, 999, 999]",5036517,0.946859498944832,4.426825474423822,5026517,1135467.6232530335,28.56813329999568,39.24321109999437,594,,432642,0,O(1),O(1),O(H),No global fit; fold-held-out trajectories use each series' history only. Update timing includes generator/guard/clock overhead and excludes the first point per series.
E01,page_hinkley,0.5285271498416347,"[0.5334438856352395, 0.5463737206055342, 0.5334371443307293, 0.5260861972616931, 0.5020374520123646]","[997, 997, 994, 999, 999]",5036517,1.0277359968749806,4.9135278051835485,5026517,1022995.5338193575,31.004315000027418,42.60631740000099,601,,1179,0,O(1),O(1),O(H),No global fit; fold-held-out trajectories use each series' history only. Update timing includes generator/guard/clock overhead and excludes the first point per series.
E01,running_mean,0.515769835538186,"[0.5285396002302161, 0.5146692012365213, 0.5195961734731135, 0.5084630054309239, 0.5084569791361455]","[997, 997, 994, 999, 999]",5036517,0.9745698979822919,3.170337590534473,5026517,1585483.2037469556,27.343651900009718,37.6290602000081,601,,0,0,O(1),O(1),O(H),No global fit; fold-held-out trajectories use each series' history only. Update timing includes generator/guard/clock overhead and excludes the first point per series.
E01,variance_ratio,0.5326815016065024,"[0.5300956965768483, 0.5540057390050794, 0.5414339569009675, 0.5134482569029984, 0.5250016615382141]","[997, 997, 994, 999, 999]",5036517,1.0667543003510218,4.766384613933042,5026517,1054576.457239003,31.123225600022124,42.43166790000396,603,,0,0,O(1),O(1),O(H),No global fit; fold-held-out trajectories use each series' history only. Update timing includes generator/guard/clock overhead and excludes the first point per series.
E01,absolute,0.5335109766896359,"[0.5315458753517496, 0.5537133788060009, 0.5572984276179895, 0.5036443747177816, 0.5218925179825075]","[997, 997, 994, 999, 999]",5036517,1.0867896001727786,3.9872080880159047,5026517,1260660.8155485739,30.597892800025875,41.695830800017575,597,,0,0,O(1),O(1),O(H),No global fit; fold-held-out trajectories use each series' history only. Update timing includes generator/guard/clock overhead and excludes the first point per series.
E01,squared,0.5380801453738867,"[0.5385998879199866, 0.5621332548174821, 0.5516445298370033, 0.5208268994218627, 0.5166302328118269]","[997, 997, 994, 999, 999]",5036517,1.0074286986782681,3.8325352086976636,5026517,1311538.375066374,28.5404634999868,38.897361699986504,596,,0,0,O(1),O(1),O(H),No global fit; fold-held-out trajectories use each series' history only. Update timing includes generator/guard/clock overhead and excludes the first point per series.
