time_online,age,active,positive,negative,weight,auc,weight_fraction
137,138,8688,1425,7263,10349775,0.5259733665707709,0.001959552868442546
138,139,8677,1432,7245,10374840,0.5269608977102297,0.0019642984974680574
139,140,8673,1443,7230,10432890,0.5269292592944046,0.0019752892720513783
140,141,8664,1452,7212,10471824,0.5282736799243379,0.0019826607590044706
141,142,8652,1462,7190,10511780,0.5276356620857742,0.0019902257441767562
142,143,8641,1465,7176,10512840,0.527290627461276,0.001990426437045978
143,144,8632,1471,7161,10533831,0.5288140658417626,0.001994400723855254
144,145,8614,1471,7143,10507353,0.5297988941648768,0.001989387567448412
145,146,8603,1467,7136,10468512,0.5314799276153096,0.0019820336884546004
146,147,8594,1467,7127,10455309,0.5303178509597373,0.0019795339262354173
147,148,8586,1479,7107,10511253,0.5310035825414915,0.0019901259657408316
148,149,8578,1486,7092,10538712,0.5316650649529089,0.0019953248577181514
149,150,8566,1492,7074,10554408,0.5304306977710166,0.0019982966268457967
150,151,8558,1502,7056,10598112,0.5308135071605207,0.0020065712317103865
151,152,8551,1516,7035,10665060,0.5326654514836298,0.002019246690397797
152,153,8539,1519,7020,10663380,0.532135683057342,0.00201892861113337
153,154,8523,1522,7001,10655522,0.5339171558183635,0.0020174408332405925
154,155,8518,1527,6991,10675257,0.5339032118852034,0.0020211773179331306
155,156,8509,1532,6977,10688764,0.5360027595332819,0.0020237346373525437
156,157,8498,1535,6963,10688205,0.5364181356925696,0.0020236288002639636
157,158,8493,1538,6955,10696790,0.5372508948946366,0.002025254223171764
158,159,8484,1538,6946,10682948,0.5372311088662044,0.002022633477232361
159,160,8482,1546,6936,10723056,0.536905337433657,0.002030227241004761
160,161,8472,1550,6922,10729100,0.5367984267086708,0.002031371569025116
161,162,8459,1551,6908,10714308,0.536662843741285,0.0020285709568349957
162,163,8449,1550,6899,10693450,0.535584960887272,0.0020246218513008197
163,164,8428,1549,6879,10655571,0.5355888483123055,0.0020174501105524718
164,165,8419,1553,6866,10662898,0.5353158212711029,0.002018837352677743
165,166,8411,1555,6856,10661080,0.5355841059254784,0.002018493145473738
166,167,8400,1558,6842,10659836,0.5347033481565757,0.002018257615351746
167,168,8392,1570,6822,10710540,0.5351392180039475,0.002027857550484781
168,169,8381,1575,6806,10719450,0.5358596756363433,0.0020295445065836165
169,170,8363,1571,6792,10670232,0.5347589443228601,0.0020202259201332826
170,171,8353,1580,6773,10701340,0.5355563882653948,0.0020261156878462533
171,172,8346,1586,6760,10721360,0.5350786653931964,0.0020299061324140066
172,173,8337,1591,6746,10732886,0.5348894975685011,0.0020320883833674494
173,174,8329,1592,6737,10725304,0.5350938304406103,0.0020306528613538277
174,175,8316,1590,6726,10694340,0.5362789101524732,0.002024790357577808
175,176,8308,1592,6716,10691872,0.5365790948488721,0.002024323083991733
176,177,8297,1594,6703,10684582,0.5354151430537947,0.002022942847183595
177,178,8282,1592,6690,10650480,0.5376547348100743,0.002016486216781521
178,179,8273,1603,6670,10692010,0.5376185581569789,0.002024349211931311
179,180,8268,1612,6656,10729472,0.5367228694944169,0.002031442000862239
180,181,8251,1607,6644,10676908,0.5358967221596365,0.0020214899065435885
181,182,8238,1603,6635,10635905,0.537423566682854,0.0020137266898297224
182,183,8231,1607,6624,10644768,0.5376003497680738,0.0020154047472824696
183,184,8220,1606,6614,10622084,0.5368710132587918,0.0020111099198811253
184,185,8211,1609,6602,10622618,0.5374780491965352,0.0020112110236473178
185,186,8206,1617,6589,10654413,0.5392160037347904,0.0020172308630594916
186,187,8194,1620,6574,10649880,0.5394474867322449,0.002016372617044226
187,188,8190,1624,6566,10663184,0.5387355221479814,0.0020188915018858537
188,189,8178,1623,6555,10638765,0.5402465417743506,0.00201426818191083
189,190,8171,1624,6547,10632328,0.5400257591752249,0.002013049446062547
190,191,8166,1632,6534,10663488,0.5401242070136901,0.002018949059086083
191,192,8160,1638,6522,10683036,0.5406090553284666,0.002022650138527164
192,193,8149,1646,6503,10703938,0.5394738833502212,0.0020266075747087417
193,194,8140,1655,6485,10732675,0.5383951344841803,0.0020320484341265006
194,195,8132,1657,6475,10729075,0.5374062535679917,0.0020313668357027285
195,196,8121,1659,6462,10720458,0.5376218068295217,0.0020297353541422728
196,197,8112,1659,6453,10705527,0.5371620659123088,0.002026908424679679
197,198,8102,1661,6441,10698501,0.5371493632612644,0.0020255781717559507
198,199,8094,1670,6424,10728080,0.5371212742634283,0.002031178449471714
199,200,8085,1673,6412,10727276,0.5370313954819471,0.002031026225823738
200,201,8073,1676,6397,10721372,0.5359100495720137,0.0020299084044087526
201,202,8062,1673,6389,10688797,0.5342212037519283,0.002023740885338095
202,203,8050,1675,6375,10678125,0.5343285455077553,0.0020217203246774024
203,204,8034,1678,6356,10665368,0.5338533091403879,0.0020193050049296087
204,205,8027,1687,6340,10695580,0.5343966386114638,0.002025025130368218
205,206,8023,1693,6330,10716690,0.5353233134484622,0.002029021947792058
206,207,8017,1700,6317,10738900,0.5338143571501737,0.0020332270314009394
207,208,8008,1707,6301,10755807,0.5343178805644244,0.0020364280826650257
208,209,7997,1713,6284,10764492,0.535056926049088,0.002038072438862375
209,210,7988,1713,6275,10749075,0.5357412614573812,0.0020351534936125723
210,211,7975,1716,6259,10740444,0.5359785871049652,0.002033519361391579
211,212,7968,1720,6248,10746560,0.5346837499627788,0.002034677321380409
212,213,7957,1722,6235,10736670,0.5347808026138459,0.002032804819043992
213,214,7943,1724,6219,10721556,0.5350318554508319,0.002029943241661523
214,215,7937,1733,6204,10751532,0.5352946910263578,0.0020356186845367965
215,216,7929,1739,6190,10764410,0.5356562041022221,0.0020380569135649445
216,217,7915,1743,6172,10757796,0.535658326296576,0.0020368046657941595
217,218,7905,1741,6164,10731524,0.5370532647553133,0.002031830511963789
218,219,7901,1754,6147,10781838,0.5376465496884668,0.0020413566072675824
