age_range,pair_weight,weight_fraction,ts_auc,eligible_ages
1-8,8445498.0,0.0015990105902133895,0.5182615637349035,8
9-16,20216869.0,0.0038277183455560325,0.5019713487780922,8
17-32,68644539.0,0.012996669328595667,0.5035683173573355,16
33-64,214169577.0,0.04054934613974475,0.5110606769326532,32
65-128,591020491.0,0.11189962085623813,0.51261723681929,64
129-256,1357431644.0,0.257006463591226,0.5194313659303496,128
257-512,2081462722.0,0.3940893640152882,0.5161419619217182,256
513+,940311015.0,0.17803180713313785,0.5138794508325525,487
