age_range,pair_weight,weight_fraction,ts_auc,eligible_ages
1-8,8445498.0,0.0015990105902133895,0.5037778707661763,8
9-16,20216869.0,0.0038277183455560325,0.49462025994232833,8
17-32,68644539.0,0.012996669328595667,0.518504785937888,16
33-64,214169577.0,0.04054934613974475,0.5130899147267775,32
65-128,591020491.0,0.11189962085623813,0.5208392461641402,64
129-256,1357431644.0,0.257006463591226,0.5367857543477158,128
257-512,2081462722.0,0.3940893640152882,0.5418670966714532,256
513+,940311015.0,0.17803180713313785,0.5507659324824563,487
